,Place Name,Place ID,Year,Quarter,HPI,YoY change,% YoY change,year dec. quarter,total_covid_cases,population,new_cases,total_covid_per_capita_1000,new_cases_per_capita_1000
0,"Abilene, TX",10180,2020,1,233.73,15.53,7.117323556370304,2020.0,11,138034,11.0,0.07969051103351349,0.07969051103351349
1,"Abilene, TX",10180,2020,2,235.6,7.609999999999985,3.3378656958638477,2020.25,1121,172060,1110.0,6.515169127048704,6.4512379402533995
2,"Abilene, TX",10180,2020,3,240.5,11.379999999999995,4.9668296089385455,2020.5,3740,172060,2619.0,21.73660351040335,15.221434383354644
3,"Abilene, TX",10180,2020,4,243.44,12.620000000000005,5.467463824625251,2020.75,14351,172060,10611.0,83.40695106358247,61.67034755317912
4,"Akron, OH",10420,2020,1,167.77,8.650000000000006,5.436148818501764,2020.0,169,703479,169.0,0.24023460543953692,0.24023460543953692
5,"Akron, OH",10420,2020,2,169.85,6.6200000000000045,4.055627029345099,2020.25,2365,703479,2196.0,3.3618629696124547,3.1216283641729174
6,"Akron, OH",10420,2020,3,173.7,9.28,5.644082228439364,2020.5,6615,703479,4250.0,9.403265769127437,6.041402799514982
7,"Akron, OH",10420,2020,4,178.48,11.560000000000002,6.925473280613471,2020.75,35337,703479,28722.0,50.23177664152021,40.828510872392776
8,"Albany, GA",10500,2020,1,161.35,4.019999999999982,2.555138880061006,2020.0,624,146726,624.0,4.252824993525347,4.252824993525347
9,"Albany, GA",10500,2020,2,164.29,4.819999999999993,3.022512071235965,2020.25,2831,146726,2207.0,19.294467238253617,15.04164224472827
10,"Albany, GA",10500,2020,3,165.16,6.740000000000009,4.254513319025381,2020.5,4723,146726,1892.0,32.18925071221188,12.894783473958263
11,"Albany, GA",10500,2020,4,168.63,7.240000000000009,4.486027634921625,2020.75,8011,146726,3288.0,54.59836702424928,22.409116312037405
12,"Albany-Lebanon, OR",10540,2020,1,278.37,21.69999999999999,8.45443565667978,2020.0,37,129749,37.0,0.28516597430423357,0.28516597430423357
13,"Albany-Lebanon, OR",10540,2020,2,280.65,15.739999999999952,5.9416405571703415,2020.25,144,129749,107.0,1.1098351432380982,0.8246691689338647
14,"Albany-Lebanon, OR",10540,2020,3,287.32,17.95999999999998,6.66765666765666,2020.5,532,129749,388.0,4.100224279185197,2.990389135947098
15,"Albany-Lebanon, OR",10540,2020,4,294.25,21.220000000000027,7.772039702596794,2020.75,2650,129749,2118.0,20.42404951097889,16.323825231793695
16,"Albany-Schenectady-Troy, NY",10580,2020,1,211.55,5.960000000000008,2.8989736854905432,2020.0,480,880381,480.0,0.545218490630761,0.545218490630761
17,"Albany-Schenectady-Troy, NY",10580,2020,2,215.35,8.409999999999997,4.063979897554845,2020.25,4062,880381,3582.0,4.613911476962815,4.068692986332054
18,"Albany-Schenectady-Troy, NY",10580,2020,3,217.74,8.77000000000001,4.196774656649285,2020.5,6600,880381,2538.0,7.496754246172964,2.882842769210149
19,"Albany-Schenectady-Troy, NY",10580,2020,4,223.1,12.419999999999987,5.895196506550212,2020.75,27909,880381,21309.0,31.70104761461231,24.204293368439348
20,"Albuquerque, NM",10740,2020,1,188.88,11.72,6.615488823662226,2020.0,166,918018,166.0,0.18082434113492327,0.18082434113492327
21,"Albuquerque, NM",10740,2020,2,191.39,9.259999999999993,5.084280459012788,2020.25,3072,918018,2906.0,3.3463396142559296,3.1655152731210063
22,"Albuquerque, NM",10740,2020,3,195.59,10.810000000000002,5.85020023812101,2020.5,8721,918018,5649.0,9.499813729142566,6.153474114886636
23,"Albuquerque, NM",10740,2020,4,199.89,14.559999999999974,7.856256407489329,2020.75,54672,918018,45951.0,59.554387822460995,50.05457409331843
24,"Alexandria, LA",10780,2020,1,218.04,9.109999999999983,4.360312066242275,2020.0,60,152037,60.0,0.39464077823161464,0.39464077823161464
25,"Alexandria, LA",10780,2020,2,219.89,6.579999999999984,3.0847123904176947,2020.25,1620,152037,1560.0,10.655301012253595,10.260660234021982
26,"Alexandria, LA",10780,2020,3,219.28,1.1299999999999957,0.5179922071968808,2020.5,4757,152037,3137.0,31.28843636746318,20.633135355209586
27,"Alexandria, LA",10780,2020,4,224.31,8.259999999999991,3.8231890766026337,2020.75,9759,152037,5002.0,64.18832257937213,32.89988621190894
28,"Allentown-Bethlehem-Easton, PA-NJ",10900,2020,1,195.06,9.77000000000001,5.272815586378115,2020.0,610,844052,610.0,0.7227042883613806,0.7227042883613806
29,"Allentown-Bethlehem-Easton, PA-NJ",10900,2020,2,197.17,7.739999999999981,4.085942036636214,2020.25,9170,844052,8560.0,10.864259547989935,10.141555259628554
30,"Allentown-Bethlehem-Easton, PA-NJ",10900,2020,3,202.0,10.830000000000013,5.665114819270813,2020.5,12138,844052,2968.0,14.380630577263013,3.5163710292730777
31,"Allentown-Bethlehem-Easton, PA-NJ",10900,2020,4,206.25,14.330000000000013,7.466652771988336,2020.75,43711,844052,31573.0,51.78709368617099,37.40646310890798
32,"Altoona, PA",11020,2020,1,212.3,16.03,8.167320527844296,2020.0,6,121829,6.0,0.04924935770629325,0.04924935770629325
33,"Altoona, PA",11020,2020,2,210.74,4.070000000000022,1.9693230754342776,2020.25,71,121829,65.0,0.5827840661911368,0.5335347084848435
34,"Altoona, PA",11020,2020,3,211.87,8.879999999999995,4.374599733977041,2020.5,716,121829,645.0,5.877090019617661,5.294305953426524
35,"Altoona, PA",11020,2020,4,212.19,6.340000000000003,3.0799125576876385,2020.75,7886,121829,7170.0,64.73007247863809,58.85298245902043
36,"Amarillo, TX",11100,2020,1,207.66,6.530000000000001,3.2466563913886546,2020.0,13,257240,13.0,0.05053646400248795,0.05053646400248795
37,"Amarillo, TX",11100,2020,2,208.99,7.3799999999999955,3.6605327116710455,2020.25,3761,265053,3748.0,14.189614907207238,14.140568112792536
