CBSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Principal City Name,FIPS State Code,FIPS Place Code
10100,"Aberdeen, SD",Micropolitan Statistical Area,Aberdeen,46,00100
10140,"Aberdeen, WA",Micropolitan Statistical Area,Aberdeen,53,00100
10180,"Abilene, TX",Metropolitan Statistical Area,Abilene,48,01000
10220,"Ada, OK",Micropolitan Statistical Area,Ada,40,00200
10300,"Adrian, MI",Micropolitan Statistical Area,Adrian,26,00440
10380,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,Aguadilla,72,00745
10380,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,Isabela,72,36478
10420,"Akron, OH",Metropolitan Statistical Area,Akron,39,01000
10460,"Alamogordo, NM",Micropolitan Statistical Area,Alamogordo,35,01780
10500,"Albany, GA",Metropolitan Statistical Area,Albany,13,01052
10540,"Albany-Lebanon, OR",Metropolitan Statistical Area,Albany,41,01000
10540,"Albany-Lebanon, OR",Metropolitan Statistical Area,Lebanon,41,41650
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Albany,36,01000
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Schenectady,36,65508
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Troy,36,75484
10620,"Albemarle, NC",Micropolitan Statistical Area,Albemarle,37,00680
10660,"Albert Lea, MN",Micropolitan Statistical Area,Albert Lea,27,00694
10700,"Albertville, AL",Micropolitan Statistical Area,Albertville,01,00988
10740,"Albuquerque, NM",Metropolitan Statistical Area,Albuquerque,35,02000
10760,"Alexander City, AL",Micropolitan Statistical Area,Alexander City,01,01132
10780,"Alexandria, LA",Metropolitan Statistical Area,Alexandria,22,00975
10820,"Alexandria, MN",Micropolitan Statistical Area,Alexandria,27,00928
10860,"Alice, TX",Micropolitan Statistical Area,Alice,48,01852
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,Allentown,42,02000
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,Bethlehem,42,06088
10940,"Alma, MI",Micropolitan Statistical Area,Alma,26,01540
10980,"Alpena, MI",Micropolitan Statistical Area,Alpena,26,01740
11020,"Altoona, PA",Metropolitan Statistical Area,Altoona,42,02184
11060,"Altus, OK",Micropolitan Statistical Area,Altus,40,01700
11100,"Amarillo, TX",Metropolitan Statistical Area,Amarillo,48,03000
11140,"Americus, GA",Micropolitan Statistical Area,Americus,13,02116
11180,"Ames, IA",Metropolitan Statistical Area,Ames,19,01855
11220,"Amsterdam, NY",Micropolitan Statistical Area,Amsterdam,36,02066
11260,"Anchorage, AK",Metropolitan Statistical Area,Anchorage,02,03000
11380,"Andrews, TX",Micropolitan Statistical Area,Andrews,48,03216
