hpi_type,hpi_flavor,level,placename,place_id,year,quarter,index_nsa
traditional,all-transactions,MSA,"Abilene, TX",10180,2015,1,184.65
traditional,all-transactions,MSA,"Abilene, TX",10180,2015,2,190.49
traditional,all-transactions,MSA,"Abilene, TX",10180,2015,3,192.39
traditional,all-transactions,MSA,"Abilene, TX",10180,2015,4,193.89
traditional,all-transactions,MSA,"Abilene, TX",10180,2016,1,195.31
traditional,all-transactions,MSA,"Abilene, TX",10180,2016,2,198.03
traditional,all-transactions,MSA,"Abilene, TX",10180,2016,3,202.98
traditional,all-transactions,MSA,"Abilene, TX",10180,2016,4,203.47
traditional,all-transactions,MSA,"Abilene, TX",10180,2017,1,199.68
traditional,all-transactions,MSA,"Abilene, TX",10180,2017,2,209.33
traditional,all-transactions,MSA,"Abilene, TX",10180,2017,3,211.74
traditional,all-transactions,MSA,"Abilene, TX",10180,2017,4,208.58
traditional,all-transactions,MSA,"Abilene, TX",10180,2018,1,210.06
traditional,all-transactions,MSA,"Abilene, TX",10180,2018,2,222.06
traditional,all-transactions,MSA,"Abilene, TX",10180,2018,3,219.71
traditional,all-transactions,MSA,"Abilene, TX",10180,2018,4,226.37
traditional,all-transactions,MSA,"Abilene, TX",10180,2019,1,218.82
traditional,all-transactions,MSA,"Abilene, TX",10180,2019,2,228.6
traditional,all-transactions,MSA,"Abilene, TX",10180,2019,3,230.56
traditional,all-transactions,MSA,"Abilene, TX",10180,2019,4,231.19
traditional,all-transactions,MSA,"Abilene, TX",10180,2020,1,234.84
traditional,all-transactions,MSA,"Abilene, TX",10180,2020,2,236.48
traditional,all-transactions,MSA,"Abilene, TX",10180,2020,3,241.79
traditional,all-transactions,MSA,"Akron, OH",10420,2015,1,134.91
traditional,all-transactions,MSA,"Akron, OH",10420,2015,2,139.16
traditional,all-transactions,MSA,"Akron, OH",10420,2015,3,136.72
traditional,all-transactions,MSA,"Akron, OH",10420,2015,4,140.46
traditional,all-transactions,MSA,"Akron, OH",10420,2016,1,139.03
traditional,all-transactions,MSA,"Akron, OH",10420,2016,2,142.03
traditional,all-transactions,MSA,"Akron, OH",10420,2016,3,143.4
traditional,all-transactions,MSA,"Akron, OH",10420,2016,4,142.34
traditional,all-transactions,MSA,"Akron, OH",10420,2017,1,143.95
traditional,all-transactions,MSA,"Akron, OH",10420,2017,2,148.47
traditional,all-transactions,MSA,"Akron, OH",10420,2017,3,149.5
traditional,all-transactions,MSA,"Akron, OH",10420,2017,4,151.14
traditional,all-transactions,MSA,"Akron, OH",10420,2018,1,151.31
traditional,all-transactions,MSA,"Akron, OH",10420,2018,2,153.69
traditional,all-transactions,MSA,"Akron, OH",10420,2018,3,158.66
traditional,all-transactions,MSA,"Akron, OH",10420,2018,4,157.03
traditional,all-transactions,MSA,"Akron, OH",10420,2019,1,159.19
traditional,all-transactions,MSA,"Akron, OH",10420,2019,2,163.49
traditional,all-transactions,MSA,"Akron, OH",10420,2019,3,164.47
traditional,all-transactions,MSA,"Akron, OH",10420,2019,4,167.24
traditional,all-transactions,MSA,"Akron, OH",10420,2020,1,168.03
traditional,all-transactions,MSA,"Akron, OH",10420,2020,2,169.99
traditional,all-transactions,MSA,"Akron, OH",10420,2020,3,173.97
traditional,all-transactions,MSA,"Albany, GA",10500,2015,1,144.04
traditional,all-transactions,MSA,"Albany, GA",10500,2015,2,143.77
traditional,all-transactions,MSA,"Albany, GA",10500,2015,3,144.99
traditional,all-transactions,MSA,"Albany, GA",10500,2015,4,141.6
traditional,all-transactions,MSA,"Albany, GA",10500,2016,1,145.2
traditional,all-transactions,MSA,"Albany, GA",10500,2016,2,147.18
traditional,all-transactions,MSA,"Albany, GA",10500,2016,3,146.96
traditional,all-transactions,MSA,"Albany, GA",10500,2016,4,146.28
traditional,all-transactions,MSA,"Albany, GA",10500,2017,1,149.19
traditional,all-transactions,MSA,"Albany, GA",10500,2017,2,148.09
traditional,all-transactions,MSA,"Albany, GA",10500,2017,3,152.38
traditional,all-transactions,MSA,"Albany, GA",10500,2017,4,151.47
traditional,all-transactions,MSA,"Albany, GA",10500,2018,1,158.36
traditional,all-transactions,MSA,"Albany, GA",10500,2018,2,152.8
traditional,all-transactions,MSA,"Albany, GA",10500,2018,3,151.8
traditional,all-transactions,MSA,"Albany, GA",10500,2018,4,156.98
traditional,all-transactions,MSA,"Albany, GA",10500,2019,1,156.94
traditional,all-transactions,MSA,"Albany, GA",10500,2019,2,160.02
traditional,all-transactions,MSA,"Albany, GA",10500,2019,3,159.01
traditional,all-transactions,MSA,"Albany, GA",10500,2019,4,161.29
traditional,all-transactions,MSA,"Albany, GA",10500,2020,1,161.4
traditional,all-transactions,MSA,"Albany, GA",10500,2020,2,164.36
traditional,all-transactions,MSA,"Albany, GA",10500,2020,3,165.77
traditional,all-transactions,MSA,"Albany-Lebanon, OR",10540,2015,1,171.91
traditional,all-transactions,MSA,"Albany-Lebanon, OR",10540,2015,2,181.56
traditional,all-transactions,MSA,"Albany-Lebanon, OR",10540,2015,3,186.48
traditional,all-transactions,MSA,"Albany-Lebanon, OR",10540,2015,4,184.38
traditional,all-transactions,MSA,"Albany-Lebanon, OR",10540,2016,1,190.76
traditional,all-transactions,MSA,"Albany-Lebanon, OR",10540,2016,2,194.39
traditional,all-transactions,MSA,"Albany-Lebanon, OR",10540,2016,3,202.2
traditional,all-transactions,MSA,"Albany-Lebanon, OR",10540,2016,4,202.15
traditional,all-transactions,MSA,"Albany-Lebanon, OR",10540,2017,1,211.39
traditional,all-transactions,MSA,"Albany-Lebanon, OR",10540,2017,2,216.83
traditional,all-transactions,MSA,"Albany-Lebanon, OR",10540,2017,3,223.83
traditional,all-transactions,MSA,"Albany-Lebanon, OR",10540,2017,4,230.45
traditional,all-transactions,MSA,"Albany-Lebanon, OR",10540,2018,1,235.08
