Place Name,Place ID,Year,Quarter,HPI,YoY change,% YoY change,year dec. quarter
"Abilene, TX",10180,2018,1,208.87,8.890000000000015,4.445444544454453,2018.0
"Abilene, TX",10180,2018,2,222.18,14.310000000000002,6.884110261220957,2018.25
"Abilene, TX",10180,2018,3,218.76,7.840000000000003,3.717049118149063,2018.5
"Abilene, TX",10180,2018,4,226.27,17.97,8.626980316850695,2018.75
"Akron, OH",10420,2018,1,151.16,7.4199999999999875,5.162098232920542,2018.0
"Akron, OH",10420,2018,2,153.66,5.409999999999997,3.6492411467116335,2018.25
"Akron, OH",10420,2018,3,158.59,9.280000000000001,6.2152568481682415,2018.5
"Akron, OH",10420,2018,4,157.14,6.539999999999992,4.342629482071708,2018.75
"Albany, GA",10500,2018,1,157.99,8.850000000000023,5.9340217245541265,2018.0
"Albany, GA",10500,2018,2,152.05,2.880000000000024,1.9306831132265363,2018.25
"Albany, GA",10500,2018,3,151.86,-0.28999999999999204,-0.19060138021688597,2018.5
"Albany, GA",10500,2018,4,156.69,5.349999999999994,3.5350865600634296,2018.75
"Albany-Lebanon, OR",10540,2018,1,235.02,23.230000000000018,10.968412106331753,2018.0
"Albany-Lebanon, OR",10540,2018,2,242.67,25.47,11.726519337016574,2018.25
"Albany-Lebanon, OR",10540,2018,3,250.0,25.659999999999997,11.437995899081749,2018.5
"Albany-Lebanon, OR",10540,2018,4,254.17,23.25,10.068421964316647,2018.75
"Albany-Schenectady-Troy, NY",10580,2018,1,201.27,8.320000000000022,4.311997926924085,2018.0
"Albany-Schenectady-Troy, NY",10580,2018,2,201.71,6.02000000000001,3.0762941386887475,2018.25
"Albany-Schenectady-Troy, NY",10580,2018,3,203.08,4.200000000000017,2.111826226870483,2018.5
"Albany-Schenectady-Troy, NY",10580,2018,4,203.19,4.329999999999984,2.1774112440913123,2018.75
"Albuquerque, NM",10740,2018,1,171.43,7.610000000000014,4.645342449029431,2018.0
"Albuquerque, NM",10740,2018,2,174.31,7.969999999999999,4.7913911266081515,2018.25
"Albuquerque, NM",10740,2018,3,175.31,4.75,2.7849437148217637,2018.5
"Albuquerque, NM",10740,2018,4,175.74,5.460000000000008,3.206483439041583,2018.75
"Alexandria, LA",10780,2018,1,208.92,8.369999999999976,4.173522812266255,2018.0
"Alexandria, LA",10780,2018,2,211.6,5.22999999999999,2.5342830837815526,2018.25
"Alexandria, LA",10780,2018,3,208.05,-2.9099999999999966,-1.3794084186575637,2018.5
"Alexandria, LA",10780,2018,4,211.59,-1.490000000000009,-0.6992678806082264,2018.75
"Allentown-Bethlehem-Easton, PA-NJ",10900,2018,1,178.96,7.070000000000022,4.113095584385375,2018.0
"Allentown-Bethlehem-Easton, PA-NJ",10900,2018,2,182.16,8.109999999999985,4.65958058029301,2018.25
"Allentown-Bethlehem-Easton, PA-NJ",10900,2018,3,184.33,8.01000000000002,4.542876588021789,2018.5
"Allentown-Bethlehem-Easton, PA-NJ",10900,2018,4,183.64,5.739999999999981,3.2265317594153906,2018.75
"Altoona, PA",11020,2018,1,193.3,-0.37999999999999545,-0.1961999173895061,2018.0
"Altoona, PA",11020,2018,2,198.01,9.099999999999994,4.81710867608914,2018.25
"Altoona, PA",11020,2018,3,198.98,2.819999999999993,1.437601957585641,2018.5
"Altoona, PA",11020,2018,4,196.05,-0.29999999999998295,-0.15278838808249706,2018.75
"Amarillo, TX",11100,2018,1,196.27,6.060000000000002,3.185952368434889,2018.0
"Amarillo, TX",11100,2018,2,197.2,6.109999999999985,3.197446229525347,2018.25
"Amarillo, TX",11100,2018,3,199.14,5.1699999999999875,2.6653606227767117,2018.5
"Amarillo, TX",11100,2018,4,198.28,3.6699999999999875,1.8858229279070895,2018.75
"Ames, IA",11180,2018,1,199.47,7.289999999999992,3.7933187636590655,2018.0
"Ames, IA",11180,2018,2,208.06,7.920000000000016,3.9572299390426786,2018.25
"Ames, IA",11180,2018,3,206.72,3.9000000000000057,1.922887289221973,2018.5
