Place Name,Place ID,Year,Quarter,HPI,YoY change,% YoY change,year w/ dec. quarter
"Abilene, TX",10180,2020,1,233.73,15.530000000000001,7.1173235563703035,2020.0
"Abilene, TX",10180,2020,2,235.6,7.609999999999985,3.3378656958638473,2020.25
"Abilene, TX",10180,2020,3,240.5,11.379999999999995,4.9668296089385455,2020.5
"Abilene, TX",10180,2020,4,243.44,12.620000000000005,5.467463824625251,2020.75
"Akron, OH",10420,2020,1,167.77,8.650000000000006,5.4361488185017635,2020.0
"Akron, OH",10420,2020,2,169.85,6.6200000000000045,4.055627029345099,2020.25
"Akron, OH",10420,2020,3,173.7,9.280000000000001,5.6440822284393635,2020.5
"Akron, OH",10420,2020,4,178.48,11.560000000000002,6.9254732806134705,2020.75
"Albany, GA",10500,2020,1,161.35,4.019999999999982,2.5551388800610066,2020.0
"Albany, GA",10500,2020,2,164.29,4.819999999999993,3.022512071235965,2020.25
"Albany, GA",10500,2020,3,165.16,6.740000000000009,4.254513319025381,2020.5
"Albany, GA",10500,2020,4,168.63,7.240000000000009,4.486027634921625,2020.75
"Albany-Lebanon, OR",10540,2020,1,278.37,21.69999999999999,8.45443565667978,2020.0
"Albany-Lebanon, OR",10540,2020,2,280.65,15.739999999999952,5.9416405571703415,2020.25
"Albany-Lebanon, OR",10540,2020,3,287.32,17.95999999999998,6.66765666765666,2020.5
"Albany-Lebanon, OR",10540,2020,4,294.25,21.220000000000027,7.772039702596794,2020.75
"Albany-Schenectady-Troy, NY",10580,2020,1,211.55,5.960000000000008,2.8989736854905432,2020.0
"Albany-Schenectady-Troy, NY",10580,2020,2,215.35,8.409999999999997,4.063979897554845,2020.25
"Albany-Schenectady-Troy, NY",10580,2020,3,217.74,8.77000000000001,4.196774656649285,2020.5
"Albany-Schenectady-Troy, NY",10580,2020,4,223.1,12.419999999999987,5.895196506550212,2020.75
"Albuquerque, NM",10740,2020,1,188.88,11.719999999999999,6.615488823662226,2020.0
"Albuquerque, NM",10740,2020,2,191.39,9.259999999999991,5.084280459012788,2020.25
"Albuquerque, NM",10740,2020,3,195.59,10.810000000000002,5.85020023812101,2020.5
"Albuquerque, NM",10740,2020,4,199.89,14.559999999999974,7.856256407489329,2020.75
"Alexandria, LA",10780,2020,1,218.04,9.109999999999985,4.360312066242275,2020.0
"Alexandria, LA",10780,2020,2,219.89,6.579999999999984,3.0847123904176947,2020.25
"Alexandria, LA",10780,2020,3,219.28,1.1299999999999955,0.5179922071968808,2020.5
"Alexandria, LA",10780,2020,4,224.31,8.259999999999991,3.8231890766026337,2020.75
"Allentown-Bethlehem-Easton, PA-NJ",10900,2020,1,195.06,9.77000000000001,5.272815586378115,2020.0
"Allentown-Bethlehem-Easton, PA-NJ",10900,2020,2,197.17,7.739999999999981,4.085942036636214,2020.25
"Allentown-Bethlehem-Easton, PA-NJ",10900,2020,3,202.0,10.830000000000013,5.665114819270813,2020.5
"Allentown-Bethlehem-Easton, PA-NJ",10900,2020,4,206.25,14.330000000000013,7.466652771988336,2020.75
"Altoona, PA",11020,2020,1,212.3,16.03,8.167320527844296,2020.0
"Altoona, PA",11020,2020,2,210.74,4.070000000000022,1.9693230754342779,2020.25
"Altoona, PA",11020,2020,3,211.87,8.879999999999995,4.374599733977041,2020.5
"Altoona, PA",11020,2020,4,212.19,6.340000000000003,3.0799125576876385,2020.75
"Amarillo, TX",11100,2020,1,207.66,6.530000000000001,3.2466563913886546,2020.0
"Amarillo, TX",11100,2020,2,208.99,7.3799999999999955,3.6605327116710455,2020.25
"Amarillo, TX",11100,2020,3,211.03,6.590000000000003,3.223439639992175,2020.5
"Amarillo, TX",11100,2020,4,215.5,9.389999999999986,4.555819707922947,2020.75
"Ames, IA",11180,2020,1,216.2,5.8799999999999955,2.7957398250285257,2020.0
"Ames, IA",11180,2020,2,217.6,4.3700000000000045,2.049430192749615,2020.25
"Ames, IA",11180,2020,3,219.82,5.389999999999986,2.513640815184436,2020.5
"Ames, IA",11180,2020,4,220.33,4.5400000000000205,2.103897307567552,2020.75
"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2020,1,362.59,9.529999999999973,2.6992579165014368,2020.0
"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2020,2,366.37,11.009999999999991,3.0982665466006276,2020.25
"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2020,3,369.99,12.28000000000003,3.432948477817235,2020.5
"Anaheim-Santa Ana-Irvine, CA (MSAD)",11244,2020,4,374.96,15.20999999999998,4.2279360667129895,2020.75
"Anchorage, AK",11260,2020,1,237.74,7.6200000000000045,3.3113158352164107,2020.0
"Anchorage, AK",11260,2020,2,238.88,6.109999999999985,2.624908708166853,2020.25
"Anchorage, AK",11260,2020,3,241.51,6.899999999999977,2.9410511060909497,2020.5
"Anchorage, AK",11260,2020,4,244.86,11.400000000000006,4.88306347982524,2020.75
"Ann Arbor, MI",11460,2020,1,223.57,8.199999999999989,3.8074012165111153,2020.0
"Ann Arbor, MI",11460,2020,2,224.29,4.75,2.1636148310102943,2020.25
"Ann Arbor, MI",11460,2020,3,227.74,6.450000000000017,2.914727280943566,2020.5
"Ann Arbor, MI",11460,2020,4,229.97,8.370000000000005,3.7770758122743704,2020.75
"Anniston-Oxford, AL",11500,2020,1,183.89,13.839999999999975,8.138782710967348,2020.0
"Anniston-Oxford, AL",11500,2020,2,184.04,4.8799999999999955,2.7238222817593187,2020.25
"Anniston-Oxford, AL",11500,2020,3,186.91,7.549999999999983,4.209411239964308,2020.5
"Anniston-Oxford, AL",11500,2020,4,194.61,15.060000000000002,8.38763575605681,2020.75
