hpi_type,hpi_flavor,level,placename,place_id,year,quarter,index_nsa
traditional,all-transactions,State,Alaska,AK,2015,1,307.84
traditional,all-transactions,State,Alaska,AK,2015,2,310.85
traditional,all-transactions,State,Alaska,AK,2015,3,314.32
traditional,all-transactions,State,Alaska,AK,2015,4,315.54
traditional,all-transactions,State,Alaska,AK,2016,1,316.17
traditional,all-transactions,State,Alaska,AK,2016,2,318.76
traditional,all-transactions,State,Alaska,AK,2016,3,320.59
traditional,all-transactions,State,Alaska,AK,2016,4,318.74
traditional,all-transactions,State,Alaska,AK,2017,1,320.29
traditional,all-transactions,State,Alaska,AK,2017,2,320.73
traditional,all-transactions,State,Alaska,AK,2017,3,324.08
traditional,all-transactions,State,Alaska,AK,2017,4,327.05
traditional,all-transactions,State,Alaska,AK,2018,1,322.23
traditional,all-transactions,State,Alaska,AK,2018,2,332.97
traditional,all-transactions,State,Alaska,AK,2018,3,328.36
traditional,all-transactions,State,Alaska,AK,2018,4,327.32
traditional,all-transactions,State,Alaska,AK,2019,1,328.16
traditional,all-transactions,State,Alaska,AK,2019,2,334.44
traditional,all-transactions,State,Alaska,AK,2019,3,337.31
traditional,all-transactions,State,Alaska,AK,2019,4,337.97
traditional,all-transactions,State,Alaska,AK,2020,1,341.83
traditional,all-transactions,State,Alaska,AK,2020,2,344.36
traditional,all-transactions,State,Alaska,AK,2020,3,350.48
traditional,all-transactions,State,Alabama,AL,2015,1,283.58
traditional,all-transactions,State,Alabama,AL,2015,2,284.62
traditional,all-transactions,State,Alabama,AL,2015,3,286.22
traditional,all-transactions,State,Alabama,AL,2015,4,288.54
traditional,all-transactions,State,Alabama,AL,2016,1,289.23
traditional,all-transactions,State,Alabama,AL,2016,2,292.81
traditional,all-transactions,State,Alabama,AL,2016,3,297.99
traditional,all-transactions,State,Alabama,AL,2016,4,297.05
traditional,all-transactions,State,Alabama,AL,2017,1,298.72
traditional,all-transactions,State,Alabama,AL,2017,2,302.85
traditional,all-transactions,State,Alabama,AL,2017,3,305.42
traditional,all-transactions,State,Alabama,AL,2017,4,308.06
traditional,all-transactions,State,Alabama,AL,2018,1,311.14
traditional,all-transactions,State,Alabama,AL,2018,2,316.3
traditional,all-transactions,State,Alabama,AL,2018,3,320.18
traditional,all-transactions,State,Alabama,AL,2018,4,320.45
traditional,all-transactions,State,Alabama,AL,2019,1,326.96
traditional,all-transactions,State,Alabama,AL,2019,2,332.06
traditional,all-transactions,State,Alabama,AL,2019,3,336.64
traditional,all-transactions,State,Alabama,AL,2019,4,340.79
traditional,all-transactions,State,Alabama,AL,2020,1,345.13
traditional,all-transactions,State,Alabama,AL,2020,2,349.46
traditional,all-transactions,State,Alabama,AL,2020,3,356.11
traditional,all-transactions,State,Arkansas,AR,2015,1,252.53
traditional,all-transactions,State,Arkansas,AR,2015,2,253.47
traditional,all-transactions,State,Arkansas,AR,2015,3,257.49
traditional,all-transactions,State,Arkansas,AR,2015,4,259.21
traditional,all-transactions,State,Arkansas,AR,2016,1,258.3
traditional,all-transactions,State,Arkansas,AR,2016,2,261.84
traditional,all-transactions,State,Arkansas,AR,2016,3,264.76
traditional,all-transactions,State,Arkansas,AR,2016,4,266.39
traditional,all-transactions,State,Arkansas,AR,2017,1,269.02
traditional,all-transactions,State,Arkansas,AR,2017,2,270.62
traditional,all-transactions,State,Arkansas,AR,2017,3,274.36
