Place Name,Place ID,Year,Quarter,HPI,YoY change,% YoY change
Alaska,2,2020,1,340.53,11.739999999999952,3.5706682076705345
Alaska,2,2020,2,344.14,9.879999999999995,2.9557829234727446
Alaska,2,2020,3,349.61,12.350000000000023,3.6618632509043536
Alaska,2,2020,4,351.98,15.390000000000043,4.572328352000963
Alabama,1,2020,1,343.97,17.900000000000034,5.489618793510607
Alabama,1,2020,2,348.61,17.560000000000002,5.304334692644616
Alabama,1,2020,3,355.48,20.03000000000003,5.971083619019237
Alabama,1,2020,4,362.16,22.610000000000014,6.6588131350316635
Arkansas,5,2020,1,300.61,12.840000000000032,4.461896653577521
Arkansas,5,2020,2,302.14,10.449999999999989,3.5825705372141616
Arkansas,5,2020,3,307.29,12.010000000000048,4.067325927932826
Arkansas,5,2020,4,314.19,16.269999999999982,5.46119763694951
Arizona,4,2020,1,444.8,30.24000000000001,7.2944808954071805
Arizona,4,2020,2,452.54,29.80000000000001,7.049250130103612
Arizona,4,2020,3,463.48,34.56999999999999,8.059965960224753
Arizona,4,2020,4,478.55,42.460000000000036,9.736522277511533
California,6,2020,1,673.28,22.75999999999999,3.4987394699624903
California,6,2020,2,680.07,23.050000000000068,3.508264588597009
California,6,2020,3,687.47,23.75999999999999,3.5798767534013334
California,6,2020,4,701.21,33.40000000000009,5.001422560309083
Colorado,8,2020,1,596.46,24.81000000000006,4.34006822356338
Colorado,8,2020,2,603.25,22.799999999999955,3.9279869067103026
Colorado,8,2020,3,613.37,27.899999999999977,4.765402155533157
Colorado,8,2020,4,625.08,34.50999999999999,5.843507120239766
Connecticut,9,2020,1,416.84,15.509999999999991,3.8646500386215807
Connecticut,9,2020,2,420.36,12.699999999999989,3.1153412157189786
Connecticut,9,2020,3,429.85,17.650000000000034,4.281901989325578
Connecticut,9,2020,4,440.82,26.089999999999975,6.29083982349962
District of Columbia,11,2020,1,921.47,34.940000000000055,3.941208983339543
District of Columbia,11,2020,2,922.2,25.75999999999999,2.873588862612109
District of Columbia,11,2020,3,932.95,24.030000000000086,2.643797033842372
District of Columbia,11,2020,4,951.26,33.15999999999997,3.6118069927023164
Delaware,10,2020,1,488.79,21.980000000000018,4.708553801332452
Delaware,10,2020,2,491.63,18.30000000000001,3.866224410031059
Delaware,10,2020,3,502.4,24.21999999999997,5.065038270107484
Delaware,10,2020,4,510.44,28.819999999999993,5.983970765333664
Florida,12,2020,1,489.14,28.089999999999975,6.0926146838737605
Florida,12,2020,2,495.21,28.0,5.993022409623082
Florida,12,2020,3,503.65,28.299999999999955,5.953507941516768
Florida,12,2020,4,515.45,34.05000000000007,7.073120066472802
Georgia,13,2020,1,395.33,22.849999999999966,6.134557560137448
Georgia,13,2020,2,398.95,18.610000000000014,4.89299048220014
Georgia,13,2020,3,407.18,21.769999999999982,5.648530136737495
Georgia,13,2020,4,415.06,25.430000000000007,6.526704822523935
Hawaii,15,2020,1,651.53,15.43999999999994,2.427329465956066
Hawaii,15,2020,2,656.76,16.809999999999945,2.6267677162278216
Hawaii,15,2020,3,650.26,5.470000000000027,0.8483382186448344
Hawaii,15,2020,4,661.14,9.649999999999977,1.4812199726780115
Iowa,19,2020,1,311.91,10.689999999999998,3.548901135382776
Iowa,19,2020,2,313.03,8.319999999999993,2.730465032325816
Iowa,19,2020,3,316.21,8.769999999999982,2.8525891230809206
Iowa,19,2020,4,321.07,11.370000000000005,3.671294801420731
Idaho,16,2020,1,472.43,45.54000000000002,10.667853545409828
Idaho,16,2020,2,480.57,38.920000000000016,8.81240801539681
Idaho,16,2020,3,497.78,45.129999999999995,9.970175632387052
